model,protocol,split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
lstm,seen,val,ALL,,144743,145504,1.5264877934612453,3.41440254645413,0.9424072032526429,0.03444757751763793,144451,1.5291152312902794,0.0344821122222688
lstm,seen,val,SITE,1,5793,6105,1.3886188105476678,2.2646777412634638,0.8860013501379718,0.022848115002040047,5774,1.3928692347044593,0.022885560224242367
lstm,seen,val,SITE,10,5736,6162,0.6357750606669874,0.9348260900634293,0.8512074299517487,0.009431370134260465,5734,0.6359553444373055,0.009432968306989597
lstm,seen,val,SITE,11,3392,2914,5.241854745121497,8.653446192439333,0.9251488270500301,0.08730378285897501,3341,5.318124662220603,0.08796683428799995
lstm,seen,val,SITE,12,5700,6198,1.1244728212607535,1.728329230207646,0.8673381386686966,0.017436946676192746,5697,1.1250079082400626,0.017441513672101464
lstm,seen,val,SITE,15,4973,4780,1.3292344629512858,2.0573848371062606,0.8661890438463798,0.020756756912986597,4971,1.3297036314269615,0.0207608978957916
lstm,seen,val,SITE,17,4812,4826,0.6920219469546083,1.0657872346652917,0.861717526063952,0.010752624473517047,4812,0.6920219469546083,0.010752624473517047
lstm,seen,val,SITE,18,4842,4435,2.3833502004679348,3.792912589629114,0.878864605855119,0.03826632878556196,4839,2.3846503279627442,0.03827808875894966
lstm,seen,val,SITE,19,4838,4598,2.9176708107006455,4.608353896026651,0.874037627598429,0.046493237367968177,4834,2.9197907532154157,0.04651228203434915
lstm,seen,val,SITE,2,5756,6142,1.1957898490374248,1.9195271705206587,0.8918136405778063,0.01936592422952345,5753,1.1963714578556597,0.019370960298863718
lstm,seen,val,SITE,20,4744,4894,1.0963326026677682,1.7141801207124698,0.8794718594329551,0.017294197677060582,4743,1.0965557833801662,0.017296019823759848
lstm,seen,val,SITE,21,4791,4847,0.6053024939718388,0.9404893803203922,0.8515074820746453,0.009488506522684908,4791,0.6053024939718388,0.009488506522684908
lstm,seen,val,SITE,22,4889,4749,1.0211002939828555,1.6259914348595073,0.8743439367164475,0.016404470543025552,4889,1.0211002939828555,0.016404470543025552
lstm,seen,val,SITE,23,4509,4296,0.8514432111318372,1.3220665100029945,0.8776646072336849,0.013338201330155616,4508,0.8516209670792878,0.013339678514573421
lstm,seen,val,SITE,24,4910,4728,1.2196419653727422,1.9206258402831942,0.875796275927589,0.01937700860264475,4908,1.2200861700006687,0.019380932287133938
lstm,seen,val,SITE,25,5007,4429,5.285166969979288,8.460316960035913,0.8840642505451566,0.08535532068627434,4988,5.304507677375362,0.0855174603068291
lstm,seen,val,SITE,27,6286,5684,6.219426509152921,9.763400264012429,0.8769096439680057,0.09850200228428546,6149,6.3514382363839115,0.09959186241168361
lstm,seen,val,SITE,3,5600,6298,0.8953964171239308,1.405883143022555,0.8853083813038314,0.014183819245420812,5599,0.8955497624171932,0.014185084958944041
lstm,seen,val,SITE,30,4430,4375,0.6716343504580633,1.0262928769087314,0.843318908920167,0.010354169712598097,4430,0.6716343504580633,0.010354169712598097
lstm,seen,val,SITE,31,4933,4705,1.1281853782074605,1.7414210875683809,0.8772667343715643,0.017569029160653202,4933,1.1281853782074605,0.017569029160653202
lstm,seen,val,SITE,34,5313,5535,0.3461374000216886,0.5655456730633736,0.7908236512270461,0.0057057356733895,5313,0.3461374000216886,0.0057057356733895
lstm,seen,val,SITE,37,4904,4734,0.7223070672732971,1.1067975526942793,0.8636422033252916,0.011166373611208393,4904,0.7223070672732971,0.011166373611208393
lstm,seen,val,SITE,38,5092,4546,0.7915514415394858,1.2401523567423391,0.8765489500159098,0.012511777349430646,5092,0.7915514415394858,0.012511777349430646
lstm,seen,val,SITE,39,4405,4400,0.49983011910376834,0.7516022144700493,0.8606810153372685,0.007582842149726349,4405,0.49983011910376834,0.007582842149726349
lstm,seen,val,SITE,4,3276,3807,0.3595243597787524,0.7722544021546032,-0.7630662187903585,0.007791200076623775,3275,0.3595982072553562,0.007792361867552619
lstm,seen,val,SITE,40,4953,4685,1.1230339824900635,1.7551534484304776,0.8689578977694804,0.017707573623077094,4953,1.1230339824900635,0.017707573623077094
lstm,seen,val,SITE,41,5573,6325,1.2721348924138869,2.0432836955566622,0.9144939840642211,0.02061449185782448,5565,1.2738459327043121,0.02062926983189689
lstm,seen,val,SITE,42,5623,6275,0.44225300441703275,0.8518659362383177,0.7979846434676481,0.008594393154866658,5623,0.44225300441703275,0.008594393154866658
lstm,seen,val,SITE,5,3056,4027,0.3652458446812255,0.7707643771722225,-0.6517199004251026,0.007776167358487749,3055,0.36527794964379845,0.007777287061277872
lstm,seen,val,SITE,6,3274,3032,1.7824943456696387,2.892443882187858,0.9099707493033787,0.029181586966234532,3251,1.7945525484868323,0.02928451944263519
lstm,seen,val,SITE,8,3333,2973,1.701867211591078,2.7047116343236826,0.9156326578477688,0.027287574449292872,3322,1.7072196532128303,0.02733263589718639
lstm,seen,test,ALL,,138960,151284,1.3842540790311344,2.9731194614462755,0.9458390320712929,0.029995515093476227,138488,1.3876382106890692,0.030045127169555614
lstm,seen,test,SITE,1,6007,5891,1.378985771030282,2.1812107897669906,0.899997516818299,0.02200602498988796,5993,1.3818003939563834,0.02203143153796946
lstm,seen,test,SITE,10,5824,6074,0.6912344799346322,1.0020855673139621,0.8470825419968573,0.010109944504113157,5824,0.6912344799346322,0.010109944504113157
lstm,seen,test,SITE,11,3085,3221,5.229204927966892,8.221384410800038,0.9195135467689226,0.08294475327387676,3040,5.300734246247693,0.08355356980507134
lstm,seen,test,SITE,12,5577,6321,1.2901649293836266,2.0274709466449172,0.8703402498455542,0.020454958561297986,5570,1.2916818706950766,0.020467771729142322
lstm,seen,test,SITE,15,4777,4976,1.207508514135583,1.8846245611644403,0.8793012485796972,0.019013795174730314,4775,1.2079408416448463,0.019017728005814874
lstm,seen,test,SITE,17,4585,5053,0.7471218550088231,1.0967304047726778,0.8485462605755342,0.011064807128143579,4585,0.7471218550088231,0.011064807128143579
lstm,seen,test,SITE,18,4566,4710,2.2430241382597207,3.628381725233766,0.8810874460262821,0.036606392785576064,4564,2.2439217876698447,0.03661438727813169
lstm,seen,test,SITE,19,4645,4791,2.570978786562949,4.202827832817519,0.8870953460718141,0.04240192408321024,4642,2.572466767486546,0.04241556558623352
lstm,seen,test,SITE,2,5972,5926,1.2108786389161816,1.8979067671555878,0.9035118587004172,0.019147798068138544,5962,1.2126980662465856,0.019163724359331738
lstm,seen,test,SITE,20,4664,4974,1.0846029981127325,1.6969655274108573,0.8744843245089517,0.017120521307879173,4663,1.084825311738893,0.017122355527589693
lstm,seen,test,SITE,21,4559,5079,0.639142578174786,0.9520038518228428,0.8318088457884278,0.00960467491356993,4559,0.639142578174786,0.00960467491356993
lstm,seen,test,SITE,22,4618,5020,1.0017234743699825,1.555993666020054,0.8686122383948403,0.015698269813804896,4617,1.0019274294466742,0.01569996723977692
lstm,seen,test,SITE,23,4223,4582,0.8711499616824816,1.310379618736386,0.8675740367558498,0.013220293412922838,4222,0.8713390495132237,0.013221854129072159
lstm,seen,test,SITE,24,4708,4930,0.8752966128675839,1.3702409526973478,0.8650059809168839,0.013824228629662563,4707,0.8754710677021093,0.013825694735143123
lstm,seen,test,SITE,25,4460,4976,4.684795322974167,7.924445615469735,0.8933042615171946,0.0799489664470548,4443,4.701472666197576,0.08010146180046239
lstm,seen,test,SITE,27,6606,5365,4.145266592268001,7.042928808692738,0.9078208083929368,0.07105542852309603,6287,4.332005220508469,0.07282469329856066
lstm,seen,test,SITE,3,5863,6035,0.9190334156676606,1.386888037580864,0.8882645071262746,0.013992179461225513,5862,0.9191686099643636,0.013993362942926232
lstm,seen,test,SITE,30,4101,4704,0.686463680769635,1.0032701493238385,0.8413080440429592,0.010121895637600211,4101,0.686463680769635,0.010121895637600211
lstm,seen,test,SITE,31,4633,5005,1.1278142565762845,1.7350457823259575,0.8731736770656728,0.017504709321809052,4632,1.1280417858216016,0.017506595333618175
lstm,seen,test,SITE,34,5071,5776,0.40780100712431083,0.5737747981943052,0.7704608608481074,0.005788758522041163,5071,0.40780100712431083,0.005788758522041163
lstm,seen,test,SITE,37,4613,5025,0.7173154590808464,1.0910717554585467,0.8563202761464139,0.01100771756174313,4612,0.7174614871054862,0.011008908948965912
lstm,seen,test,SITE,38,4672,4966,0.8128185754973595,1.2573093000336213,0.8571261200277627,0.012684872093225847,4671,0.8129831338383049,0.012686228177814826
lstm,seen,test,SITE,39,4056,4749,0.5731937047057368,0.8393202418163088,0.8105968769300185,0.008467820855544905,4056,0.5731937047057368,0.008467820855544905
lstm,seen,test,SITE,4,2974,4108,0.3503194612068222,0.481818989442646,0.15021928405067642,0.0048610252489215385,2972,0.35045803604023296,0.004862499194991796
lstm,seen,test,SITE,40,4658,4980,1.121089906997566,1.700701105821907,0.8643542260532211,0.01715820919767456,4657,1.1213250511932045,0.01716005086304317
lstm,seen,test,SITE,41,5735,6163,0.959724909259427,1.7024555648211128,0.9466022997079673,0.017175909765066482,5724,0.961255758230208,0.017192166428315007
lstm,seen,test,SITE,42,5760,6138,0.3324865914053387,0.5463895385294207,0.9236741453233789,0.005512471282235056,5760,0.3324865914053387,0.005512471282235056
lstm,seen,test,SITE,5,1911,5171,0.39710495510630306,1.026424680259071,-3.148196903499204,0.0103554994638697,1910,0.3971885652442253,0.010358064982414934
