model,split,scope,site_id,n_eval,mae,rmse,r2,nrmse,daylight_mae,training_seconds
xgboost,test,ALL,,191732,1.0559082870424497,2.5295571471419005,0.9509074450003044,0.0255204577450769,1.051801506051107,10.63
transformer,test,ALL,,189652,1.124264147072057,2.5443559425659696,0.9498691392196684,0.025669761362797,1.1251808917234578,437.2
lstm,test,ALL,,189652,1.1400712239184865,2.602890895318245,0.9475360051487344,0.0262603148476282,1.1420387421588634,102.86
gru,test,ALL,,189652,1.1467577885015532,2.5514955501974828,0.949587404392646,0.025741792174626,1.1490279427364969,106.62
persistence_prev_day,test,ALL,,182029,2.782785566190689,6.294075937050741,0.6992369193388481,0.0635003242276218,2.785122152147346,0.0541
mean_site,test,ALL,,191732,4.896354949532275,8.3962768005184,0.4591209753273371,0.0847092257020984,4.840774959520252,0.0447
mean_global,test,ALL,,191732,6.502064039863722,11.453618981242158,-0.0064961269433823,0.115554455675875,6.502341390428516,0.0072
zero,test,ALL,,191732,7.498985960464998,13.659190368385758,-0.4314512441955662,0.1378062523798738,7.517297839363958,0.0
xgboost,val,ALL,,201552,1.2302130636731976,2.926247892037194,0.9456081090037244,0.0295226323567088,1.229788285435491,10.63
lstm,val,ALL,,199675,1.2735293264509635,2.958784425010419,0.9444046400693232,0.0298508902953969,1.2751073741986023,102.86
gru,val,ALL,,199675,1.2809482973783413,2.915267901934923,0.9460279591662676,0.0294118562970483,1.2825492148792106,106.62
transformer,val,ALL,,199675,1.2912467427801186,2.955730451028276,0.9445193487697972,0.0298200790468533,1.2925541165980223,437.2
persistence_prev_day,val,ALL,,186080,3.425069547540037,7.5988119132095235,0.6302568114130929,0.0766636794756596,3.427226056460633,0.0541
mean_site,val,ALL,,201552,5.099473352719742,9.138036793284384,0.4695826336417308,0.0921927706276446,5.070141511269146,0.0447
mean_global,val,ALL,,201552,6.804436502401408,12.613639110882325,-0.0106312721479482,0.1272577867254896,6.8051034001054,0.0072
zero,val,ALL,,201552,7.872533892850853,14.81239339626273,-0.3936778753600101,0.1494408063482164,7.883978944126365,0.0
