split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
val,ALL,,199675,210121,1.2809482973783413,2.915267901934923,0.9460279591662677,0.029411856297048386,199378,1.2825492148792106,0.029433590512997505
val,SITE,1,5793,6105,1.3568824900672078,2.209908261926219,0.8914486132985414,0.1019424421962672,5774,1.3608531216498185,0.10210915398014458
val,SITE,10,5736,6162,0.6028304272948283,0.9041350969739625,0.860816981053525,0.11818759437577131,5734,0.603036773300437,0.11820819914060203
val,SITE,11,3392,2914,5.002680979598805,8.43108931647697,0.9289461204522775,0.09100855393059977,3341,5.075851952733482,0.09169985509653741
val,SITE,12,5700,6198,1.104633366099575,1.6883007666248984,0.8734119319505,0.0966471899238246,5697,1.1051743466205004,0.09667255067913995
val,SITE,13,5651,5945,1.0514936475833103,1.5857059292213478,0.8485042264202097,0.12286269943013972,5648,1.0520231276328436,0.12289523941929696
val,SITE,14,4907,4687,1.009539507983876,1.5145089516420485,0.8661485892884351,0.11250222118274382,4906,1.009727611086877,0.11251364880126477
val,SITE,15,4973,4780,1.3514247529347994,2.0437178683405466,0.8679609203616234,0.1104187778811122,4971,1.3518849169313487,0.11044072835381787
val,SITE,16,3359,3709,0.38182151739921694,0.6155386317168937,0.6306597752022871,0.19175891660422853,3359,0.38182151739921694,0.19175891660422853
val,SITE,17,4812,4826,0.694503628107675,1.05745533429535,0.8638711496216664,0.11193748527500426,4812,0.694503628107675,0.11193748527500426
val,SITE,18,4842,4435,2.4210128784672085,3.755425719918527,0.8812472321024976,0.10670243998880609,4839,2.42221998488467,0.1067349309760551
val,SITE,19,4838,4598,2.908133593557688,4.5433675213636295,0.8775651866044395,0.10787317764068671,4834,2.91025204075532,0.10791753567084163
val,SITE,2,5756,6142,1.164724123113432,1.875428940723454,0.8967273774075613,0.10158044364111281,5753,1.1652606377368717,0.10160676622887002
val,SITE,20,4744,4894,1.140001177385726,1.7216713727473383,0.8784161015304167,0.10952978912110303,4743,1.1402142688792238,0.1095412698537666
val,SITE,21,4791,4847,0.6187516726822476,0.9344611059070086,0.8534049725143092,0.11801050409431792,4791,0.6187516726822476,0.11801050409431792
val,SITE,22,4889,4749,1.0644082052133692,1.6189057890278657,0.8754367031064085,0.10891265540795839,4889,1.0644082052133692,0.10891265540795839
val,SITE,23,4509,4296,0.9365863700112896,1.3681277724852303,0.8689916941274474,0.11445307291572042,4508,0.9367347755258657,0.11446528113793841
val,SITE,24,4910,4728,1.2668155102525855,1.919137009897444,0.8759887617330872,0.10854439647252045,4908,1.2672712549797966,0.10856636495141832
val,SITE,25,5007,4429,5.206922869399467,8.30239323573254,0.88835206239473,0.10359149336386218,4988,5.225624102827254,0.10378826507278907
val,SITE,26,4882,4756,0.6060694016085839,0.9044538721318667,0.8543871835851273,0.11939677260062286,4882,0.6060694016085839,0.11939677260062286
