rank,feature,mean_abs_shap,mean_shap,max_abs_shap,share_of_total
1,power_lag_1,3.134252,0.32091427,43.11294,0.38611794
2,power_rolling_mean_3600s,2.0744612,0.14078842,25.462307,0.25555912
3,power_rolling_min_3600s,0.35564104,0.23528112,15.534499,0.043812487
4,sin_hour,0.3447584,-0.05285003,3.7344964,0.042471822
5,solar_elevation_deg,0.2560204,-0.026691131,8.714943,0.03153992
6,site_id,0.21863008,0.007951189,2.7276497,0.026933696
7,hour,0.18776977,-0.028832432,2.1576996,0.023131922
8,power_rolling_max_3600s,0.1850957,-0.0058248993,3.8621137,0.022802496
9,zenith_deg,0.17388326,-0.011815179,3.0461035,0.021421202
10,power_rolling_min_21600s,0.15278614,0.13507763,16.395914,0.018822184
11,power_lag_96,0.1247411,0.04837269,2.365503,0.015367231
12,power_rolling_std_21600s,0.1120238,-0.0062287687,2.3103352,0.013800548
13,power_rolling_max_21600s,0.10735568,-0.030944297,3.159492,0.013225469
14,power_rolling_mean_21600s,0.09676066,0.061179664,4.0324774,0.011920237
15,power_lag_8,0.07455932,0.06892727,5.320729,0.0091851875
16,power_rolling_max_86400s,0.06703347,-0.00067462353,2.7493975,0.008258055
17,power_lag_2,0.05782039,0.052862078,1.2483389,0.007123068
18,azimuth_deg,0.048154008,-0.00028264587,0.98538274,0.005932237
19,cos_hour,0.046519075,-0.0173121,2.259096,0.0057308245
20,power_rolling_mean_86400s,0.043150734,0.00020947693,0.9219031,0.0053158686
21,humidity,0.0425961,-0.0033120331,1.0705609,0.0052475417
22,power_rolling_std_86400s,0.03739631,0.007275456,1.2159609,0.004606964
23,power_lag_4,0.024908088,-0.0077439905,0.97043806,0.0030685023
24,wind_dir_cos,0.02067535,-0.01970897,0.9293758,0.0025470585
25,power_rolling_std_3600s,0.019158548,0.009901742,1.0037408,0.002360199
26,temperature,0.01908532,0.014844086,0.70580375,0.0023511779
27,power_lag_24,0.015985027,0.0065725297,1.3918835,0.0019692436
28,dew_point_temperature,0.013655837,-0.006596668,1.8815749,0.0016823036
29,apparent_temperature,0.010593958,0.008785854,0.34969857,0.0013051016
30,wind_speed,0.009165857,-0.008159316,0.4752261,0.0011291695
31,sin_day_of_year,0.007728818,-0.0033170604,0.4712224,0.0009521363
32,day_of_year,0.006656672,-0.0023934224,0.5412845,0.00082005543
33,wind_dir_sin,0.0062201032,-0.0037508507,0.34708706,0.00076627324
34,cos_day_of_year,0.005459118,0.0008876977,0.35163218,0.0006725252
35,power_rolling_min_86400s,0.0036890972,-0.0016271551,0.42616156,0.00045447098
36,day,0.003475607,-0.00023762429,0.45024937,0.00042817046
37,week_of_year,0.003369035,0.0010710609,0.19120492,0.00041504155
38,minute,0.002021932,0.0001965598,0.16191237,0.0002490879
39,day_of_week,0.0018216034,-0.00023757007,0.560773,0.0002244088
40,day_length_hours,0.0015704223,0.0006427831,0.14578572,0.00019346505
41,power_lag_48,0.00036269444,0.00033021558,0.07315092,4.468142e-05
42,quarter,0.00029296507,5.284218e-05,0.06864291,3.6091245e-05
43,is_weekend,3.8976577e-05,-6.3887155e-06,0.0013473184,4.801642e-06
