split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
val,ALL,,199675,210121,1.2912467427801186,2.9557304510282756,0.9445193487697973,0.02982007904685333,199378,1.2925541165980223,0.029841247195152652
val,SITE,1,5793,6105,1.4168486016084345,2.221571344540343,0.8902998012238735,0.10248045689384759,5774,1.4211559647872947,0.10264835430553691
val,SITE,10,5736,6162,0.634555476854037,0.9113209432224647,0.8585958036127584,0.11912692068276577,5734,0.6347290629246196,0.11914688088794362
val,SITE,11,3392,2914,4.868145482157761,8.488605124354866,0.9279733728807976,0.09162940259043877,3341,4.9379111927663875,0.09232485381296335
val,SITE,12,5700,6198,1.1150066238955447,1.7034007643627793,0.871137423021008,0.09751159298403274,5697,1.115524294545028,0.09753694810390735
val,SITE,13,5651,5945,1.0803063228433691,1.6211215160970913,0.8416615618438738,0.12560674832676783,5648,1.0808290466033028,0.12563978995185737
val,SITE,14,4907,4687,0.9948734177429467,1.4909959791823328,0.8702724524258107,0.11075560778342475,4906,0.9950471369043157,0.11076679172817584
val,SITE,15,4973,4780,1.368522993400738,2.058082756673437,0.8660982439892213,0.11119488961291614,4971,1.3690253447009102,0.11121717675727316
val,SITE,16,3359,3709,0.3309241745151839,0.43241921738498684,0.8177254845325528,0.1347116758753351,3359,0.3309241745151839,0.1347116758753351
val,SITE,17,4812,4826,0.685106976866623,1.037595727161035,0.8689362887316915,0.10983523621628055,4812,0.685106976866623,0.10983523621628055
val,SITE,18,4842,4435,2.4435536390195844,3.779998918700103,0.8796880572806164,0.1074006352039097,4839,2.4448932332671314,0.10743365967737797
val,SITE,19,4838,4598,2.9740860851503887,4.603298070401344,0.8743138626549687,0.1092961087005339,4834,2.976387232751653,0.10934116510324124
val,SITE,2,5756,6142,1.2287778819576578,1.9079835701116101,0.8931109443529264,0.10334372756193429,5753,1.2293548298031274,0.10337055296713794
val,SITE,20,4744,4894,1.1283977424716467,1.702544256676148,0.8811025972105877,0.10831295469907899,4743,1.1286114956692705,0.10832432059035049
val,SITE,21,4791,4847,0.615232847648084,0.8986302981560675,0.8644314678754568,0.11348553065447532,4791,0.615232847648084,0.11348553065447532
val,SITE,22,4889,4749,1.0450897952680769,1.6071643223013563,0.877236995703398,0.10812274266057348,4889,1.0450897952680769,0.10812274266057348
val,SITE,23,4509,4296,0.8966890593330145,1.3280801698889522,0.8765491465008354,0.11110282210418586,4508,0.8968673937068963,0.11111508416605322
val,SITE,24,4910,4728,1.2458111154086235,1.8973145133375944,0.878792989378984,0.10731013872729614,4908,1.2462696387890206,0.10733191083988688
val,SITE,25,5007,4429,5.438588226486734,8.553669678126036,0.8814916215448801,0.10672674619706579,4988,5.457925550060073,0.10692928831528695
val,SITE,26,4882,4756,0.6028153615034979,0.8653124016059689,0.866717658658811,0.11422971499864795,4882,0.6028153615034979,0.11422971499864795
val,SITE,27,6286,5684,6.316778304885612,9.846006588870054,0.8748179429985217,0.09933697295116074,6149,6.4432877274446705,0.10042862876192683
val,SITE,28,4307,4685,0.321618374799503,0.42810846968886934,0.8134136467756647,0.12723351413768746,4307,0.321618374799503,0.12723351413768746
val,SITE,29,4262,4799,0.28732618867148263,0.3933247690596583,0.8307334495532677,0.12247435270489465,4262,0.28732618867148263,0.12247435270489465
val,SITE,3,5600,6298,0.9268565628358296,1.4047388597618398,0.8854950060463521,0.10558572334082114,5599,0.9269995008926133,0.10559507538746787
val,SITE,30,4430,4375,0.6555447593499522,0.9698774933771092,0.8600710031721229,0.1168210966556678,4430,0.6555447593499522,0.1168210966556678
val,SITE,31,4933,4705,1.1201812014627137,1.696278408197745,0.8835474616265091,0.1052385823834287,4933,1.1201812014627137,0.1052385823834287
val,SITE,32,4791,4847,0.5519243394922947,0.7990580917981968,0.8557693635836865,0.11008145916875467,4791,0.5519243394922947,0.11008145916875467
val,SITE,33,4935,4703,1.2935331804049413,1.976368001815716,0.882970022311732,0.10540217571850599,4934,1.2937677430874623,0.10541280566436613
val,SITE,34,5313,5535,0.3763854199382022,0.5075293689764397,0.8315389253188861,0.12821267394396801,5313,0.3763854199382022,0.12821267394396801
val,SITE,35,5276,5614,0.4971099886323034,0.7079432904400605,0.8450645518737094,0.11936016653089439,5276,0.4971099886323034,0.11936016653089439
val,SITE,36,4876,4762,0.7715696375618419,1.1392491603162258,0.8670007587172501,0.1133823637052984,4876,0.7715696375618419,0.1133823637052984
val,SITE,37,4904,4734,0.7460955052741395,1.0936689264471309,0.8668579189560512,0.10986916281861371,4904,0.7460955052741395,0.10986916281861371
val,SITE,38,5092,4546,0.8295974829771906,1.2334925310611775,0.8778712954415546,0.10925390627472473,5092,0.8295974829771906,0.10925390627472473
val,SITE,39,4405,4400,0.530984190184196,0.7542452003956973,0.8596994707852662,0.11706662905724806,4405,0.530984190184196,0.11706662905724806
val,SITE,4,3276,3807,0.22039582805028038,0.28723278822874915,0.7560977161241405,0.15161153358053564,3275,0.220398929974505,0.15162227943803885
val,SITE,40,4953,4685,1.0667261004857094,1.6589869859276798,0.8829243368068421,0.1004703329901642,4953,1.0667261004857094,0.1004703329901642
val,SITE,41,5573,6325,1.2768653759339457,2.0106131152500404,0.9172064785923915,0.09217710557020242,5565,1.27858876860688,0.0922431491763997
