model,method,level,scope,label,n,n_missing,coverage,mae,mean_width,median_width,p90_width
xgboost,global,0.9,ALL,,191732,218062,0.9159868983789874,1.0559082870424497,5.8433837890625,5.8433837890625,5.8433837890625
xgboost,global,0.8,ALL,,191732,218062,0.8278743245780569,1.0559082870424497,3.1119651794433594,3.1119651794433594,3.1119651794433594
xgboost,mondrian,0.9,ALL,,191732,218062,0.9162528946654706,1.0559082870424497,5.860386066676713,5.828939437866211,5.828939437866211
xgboost,mondrian,0.8,ALL,,191732,218062,0.8282498487472096,1.0559082870424497,3.13540164785636,3.11114501953125,3.11114501953125
persistence,global,0.9,ALL,,182029,227765,0.9224024743310132,2.7827855661906895,16.390625,16.390625,16.390625
persistence,global,0.8,ALL,,182029,227765,0.8409539139367903,2.7827855661906895,9.3984375,9.3984375,9.3984375
persistence,mondrian,0.9,ALL,,182029,227765,0.9226441940569909,2.7827855661906895,16.38396457432607,16.5,16.5
persistence,mondrian,0.8,ALL,,182029,227765,0.8417449966763537,2.7827855661906895,9.399608029489807,9.5,9.5
xgboost,mondrian,0.9,REGIME,day_lag,183789,5816,0.9155988660910065,1.0584360718359749,5.828939437866211,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,REGIME,day_nolag,7464,20847,0.9304662379421221,0.8884359901032093,6.151628494262695,6.151628494262695,6.151628494262695
xgboost,mondrian,0.9,REGIME,night_lag,248,1902,0.9475806451612904,0.1574297171807097,0.8746857643127441,0.8746857643127441,0.8746857643127441
xgboost,mondrian,0.9,REGIME,night_nolag,231,189497,0.9437229437229437,5.420656643159289,26.8221378326416,26.8221378326416,26.8221378326416
xgboost,mondrian,0.9,SITE,site_1,6056,5842,0.9047225891677675,1.0420101416030285,5.829155645250801,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_10,5872,6026,0.9918256130790191,0.4355689134697458,5.8409193789926475,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_11,3135,3171,0.5374800637958532,4.914804568668112,5.767604205026581,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_12,5622,6276,0.8922091782283885,1.1170370909681908,5.840449301554443,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_13,5354,6241,0.9336944340679866,0.907417804278297,5.851360119408888,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_14,4725,4870,0.9441269841269841,0.8330828991439686,5.83715479028288,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_15,4833,4920,0.9023380922822264,1.0797860518594276,5.837905956996837,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_16,2982,4087,1.0,0.2345514013741158,5.842141337557818,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_17,4636,5002,0.9812338222605694,0.5741013833952423,5.839937037286108,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_18,4620,4656,0.7575757575757576,2.176126099813294,5.836852580025083,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_19,4700,4736,0.7197872340425532,2.5076049201602633,5.836007077947576,5.828939437866211,5.828939437866211
