feature,gain,weight,cover
power_rolling_mean_3600s,237296.0625,919.0,103638.3671875
power_lag_1,221734.640625,2458.0,86935.5390625
power_rolling_min_3600s,11425.3447265625,985.0,41096.9765625
power_rolling_max_3600s,8720.09375,759.0,84864.2578125
power_rolling_min_21600s,6951.5927734375,595.0,36428.30078125
power_rolling_mean_21600s,4325.21826171875,564.0,33642.046875
power_rolling_max_86400s,3557.12060546875,622.0,18975.197265625
power_rolling_max_21600s,3452.87939453125,582.0,38066.1875
sin_hour,2838.744140625,1160.0,34758.296875
zenith_deg,2782.539306640625,835.0,30193.4296875
hour,2662.785400390625,574.0,28408.716796875
power_rolling_std_21600s,2644.8837890625,969.0,35486.01953125
power_rolling_std_86400s,2225.6591796875,499.0,14473.8740234375
solar_elevation_deg,1557.1158447265625,2528.0,16829.373046875
power_rolling_mean_86400s,1303.0301513671875,681.0,11242.8740234375
power_lag_96,1272.1845703125,1568.0,34789.58984375
power_lag_8,1180.9730224609375,1258.0,30515.28515625
site_id,1161.076416015625,1763.0,69618.6953125
azimuth_deg,1051.1292724609375,1313.0,16748.0703125
quarter,841.94384765625,5.0,444.79998779296875
cos_hour,775.9158935546875,428.0,26124.08203125
power_lag_4,734.3116455078125,1182.0,31860.337890625
humidity,732.2871704101562,1524.0,19020.78515625
power_rolling_std_3600s,710.0359497070312,1746.0,25760.091796875
temperature,704.8966674804688,1387.0,6259.63525390625
cos_day_of_year,694.7898559570312,499.0,3585.973876953125
day_length_hours,672.90771484375,138.0,3203.702880859375
apparent_temperature,663.953369140625,1153.0,8937.8271484375
power_lag_2,653.9576416015625,1452.0,34939.8359375
week_of_year,650.1666259765625,177.0,13810.35546875
day_of_year,633.841064453125,621.0,7439.57470703125
dew_point_temperature,626.2892456054688,1259.0,14358.7177734375
power_lag_24,625.8822021484375,836.0,13009.2998046875
day,624.7620849609375,635.0,15339.603515625
wind_dir_sin,612.4551391601562,1332.0,7881.0556640625
wind_dir_cos,610.29833984375,1214.0,17814.0
power_rolling_min_86400s,597.6683959960938,433.0,3663.4365234375
wind_speed,592.6644287109375,1353.0,8235.720703125
sin_day_of_year,589.2156372070312,729.0,27684.23828125
day_of_week,545.76025390625,374.0,4972.12548828125
is_weekend,501.91644287109375,7.0,464.28570556640625
minute,501.8897399902344,281.0,336.8647766113281
power_lag_48,246.97543334960938,10.0,3249.39990234375
